0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
C,Br,S,C,C,,,,,,,,,,
S,C,F,F,F,F,F,,,,,,,,
H,Ge,,,,,,,,,,,,,
C,N,C,O,,,,,,,,,,,
C,F,F,N,N,,,,,,,,,,
C,C,C,C,Mo,,,,,,,,,,
C,N,H,H,H,,,,,,,,,,
C,Se,C,O,,,,,,,,,,,
C,C,N,Cl,,,,,,,,,,,
S,O,O,N,O,,,,,,,,,,
C,C,Zr,C,H,,,,,,,,,,
Sn,Si,C,C,C,,,,,,,,,,
Pt,S,S,S,S,,,,,,,,,,
C,C,C,N,C,,,,,,,,,,
Se,C,C,Ag,,,,,,,,,,,
C,Cl,O,C,O,,,,,,,,,,
P,C,P,P,,,,,,,,,,,
C,P,O,P,,,,,,,,,,,
C,Zr,C,C,C,,,,,,,,,,
C,O,C,N,H,,,,,,,,,,
F,H,,,,,,,,,,,,,
N,C,O,Mo,,,,,,,,,,,
N,C,C,Pd,,,,,,,,,,,
Pd,Cl,Cl,C,C,,,,,,,,,,
C,C,Br,Br,C,,,,,,,,,,
C,C,C,C,Se,,,,,,,,,,
C,O,O,O,H,,,,,,,,,,
C,C,F,P,H,,,,,,,,,,
C,C,C,Cl,Cl,,,,,,,,,,
C,N,N,N,C,,,,,,,,,,
S,Ir,C,,,,,,,,,,,,
O,Si,H,,,,,,,,,,,,
B,C,N,C,,,,,,,,,,,
Te,C,C,O,O,,,,,,,,,,
N,As,N,,,,,,,,,,,,
N,P,N,C,,,,,,,,,,,
C,Cl,N,C,C,,,,,,,,,,
C,O,N,N,,,,,,,,,,,
C,O,F,F,F,,,,,,,,,,
I,P,I,,,,,,,,,,,,
P,Pt,C,C,O,,,,,,,,,,
C,C,C,Hf,C,,,,,,,,,,
N,O,C,C,,,,,,,,,,,
C,N,Se,C,,,,,,,,,,,
C,C,C,Cr,H,,,,,,,,,,
C,C,C,C,Os,,,,,,,,,,
C,C,C,Ti,H,,,,,,,,,,
C,C,C,C,Co,,,,,,,,,,
Sb,I,I,C,,,,,,,,,,,
C,B,C,H,,,,,,,,,,,
Cl,S,,,,,,,,,,,,,
P,N,N,P,,,,,,,,,,,
Se,Cu,Cu,C,,,,,,,,,,,
C,Se,Se,C,,,,,,,,,,,
Pd,P,I,I,P,,,,,,,,,,
P,C,O,C,O,,,,,,,,,,
Cl,Ru,,,,,,,,,,,,,
C,Ag,N,N,,,,,,,,,,,
P,C,O,O,C,,,,,,,,,,
C,C,C,C,O,,,,,,,,,,
C,W,C,C,,,,,,,,,,,
C,Ru,C,C,,,,,,,,,,,
C,Te,C,,,,,,,,,,,,
N,C,C,N,,,,,,,,,,,
Ir,S,C,S,C,C,C,C,C,,,,,,
C,Pd,H,H,H,,,,,,,,,,
Ni,P,O,C,P,,,,,,,,,,
N,S,C,H,,,,,,,,,,,
N,C,C,,,,,,,,,,,,
N,C,O,O,,,,,,,,,,,
O,Bi,C,,,,,,,,,,,,
P,C,H,H,,,,,,,,,,,
S,Se,H,,,,,,,,,,,,
C,Fe,C,B,C,,,,,,,,,,
I,I,S,,,,,,,,,,,,
C,N,C,S,,,,,,,,,,,
P,C,S,S,S,,,,,,,,,,
C,N,N,O,C,,,,,,,,,,
C,S,C,C,,,,,,,,,,,
P,O,O,C,O,,,,,,,,,,
P,C,S,C,C,,,,,,,,,,
Bi,O,C,C,,,,,,,,,,,
O,As,C,,,,,,,,,,,,
P,C,Os,C,,,,,,,,,,,
C,Cl,C,Cl,Cl,,,,,,,,,,
C,C,C,N,Fe,,,,,,,,,,
C,C,O,S,H,,,,,,,,,,
S,P,P,,,,,,,,,,,,
S,Pt,S,,,,,,,,,,,,
C,Sb,H,H,H,,,,,,,,,,
C,O,C,C,O,,,,,,,,,,
Si,C,C,O,C,,,,,,,,,,
N,C,Si,C,,,,,,,,,,,
P,C,C,Pd,Pd,,,,,,,,,,
P,C,C,C,Ru,,,,,,,,,,
Ta,Cl,Cl,C,C,C,,,,,,,,,
Sn,Cl,Cl,C,Cl,,,,,,,,,,
B,N,C,C,,,,,,,,,,,
C,C,C,C,Zn,,,,,,,,,,
Cl,P,,,,,,,,,,,,,
C,S,S,C,H,,,,,,,,,,
C,O,C,O,C,,,,,,,,,,
C,C,C,Sn,C,,,,,,,,,,
C,C,C,I,H,,,,,,,,,,
N,C,Si,,,,,,,,,,,,
Ag,Ag,C,P,,,,,,,,,,,
Ni,S,S,S,S,,,,,,,,,,
C,Si,C,Fe,C,,,,,,,,,,
C,S,C,Si,,,,,,,,,,,
C,N,C,C,H,,,,,,,,,,
C,N,F,C,,,,,,,,,,,
Si,C,C,C,Si,,,,,,,,,,
S,C,C,O,,,,,,,,,,,
C,N,N,Pt,,,,,,,,,,,
Bi,C,C,C,,,,,,,,,,,
P,P,C,C,,,,,,,,,,,
C,Tl,H,H,H,,,,,,,,,,
Te,C,Te,,,,,,,,,,,,
Pt,Cl,Cl,Cl,N,C,N,,,,,,,,
C,S,Fe,C,C,,,,,,,,,,
Ba,,,,,,,,,,,,,,
C,C,C,C,S,,,,,,,,,,
C,O,O,H,H,,,,,,,,,,
Br,Pd,,,,,,,,,,,,,
C,Fe,F,C,C,,,,,,,,,,
Co,S,S,S,S,S,,,,,,,,,
C,C,O,N,,,,,,,,,,,
C,C,C,C,Ru,,,,,,,,,,
Se,C,Sn,,,,,,,,,,,,
C,P,C,,,,,,,,,,,,
I,B,,,,,,,,,,,,,
C,Hg,C,,,,,,,,,,,,
C,N,C,C,O,,,,,,,,,,
C,Cl,N,N,,,,,,,,,,,
C,C,C,Co,H,,,,,,,,,,
C,Br,O,C,,,,,,,,,,,
Sb,S,S,C,,,,,,,,,,,
Mo,I,C,I,I,I,C,C,C,C,Mo,,,,
Cd,C,C,,,,,,,,,,,,
C,C,P,S,,,,,,,,,,,
C,C,F,F,S,,,,,,,,,,
S,Sb,,,,,,,,,,,,,
S,O,C,,,,,,,,,,,,
I,,,,,,,,,,,,,,
Cl,B,,,,,,,,,,,,,
N,O,N,C,,,,,,,,,,,
C,N,C,N,,,,,,,,,,,
C,Mo,C,C,C,,,,,,,,,,
Ru,C,C,P,Cl,C,C,C,C,C,,,,,
O,Ni,H,,,,,,,,,,,,
C,Cl,C,C,,,,,,,,,,,
S,C,Pt,,,,,,,,,,,,
C,N,O,O,,,,,,,,,,,
C,N,Ru,N,,,,,,,,,,,
C,C,C,N,O,,,,,,,,,,
Sn,C,C,C,C,,,,,,,,,,
C,Br,C,C,C,,,,,,,,,,
N,Mo,O,,,,,,,,,,,,
C,P,N,H,H,,,,,,,,,,
O,B,C,,,,,,,,,,,,
C,C,S,N,C,,,,,,,,,,
N,C,N,N,,,,,,,,,,,
C,C,Se,Se,,,,,,,,,,,
Ti,C,C,Cl,Cl,Cl,C,C,C,,,,,,
S,C,Mo,Mo,,,,,,,,,,,
C,Br,C,H,H,,,,,,,,,,
N,N,C,,,,,,,,,,,,
C,C,Sb,C,,,,,,,,,,,
Ir,P,P,P,Cl,,,,,,,,,,
Br,,,,,,,,,,,,,,
C,F,C,C,H,,,,,,,,,,
P,C,C,Au,C,,,,,,,,,,
C,Fe,Si,C,C,,,,,,,,,,
C,O,O,H,,,,,,,,,,,
C,C,C,C,P,,,,,,,,,,
Br,Te,,,,,,,,,,,,,
C,C,Se,H,,,,,,,,,,,
C,S,N,C,,,,,,,,,,,
P,O,O,N,O,,,,,,,,,,
C,Fe,P,C,C,,,,,,,,,,
C,Ta,C,C,,,,,,,,,,,
C,C,C,Zr,H,,,,,,,,,,
C,Te,C,C,,,,,,,,,,,
C,N,Cl,N,,,,,,,,,,,
C,Cl,Cl,H,H,,,,,,,,,,
Au,C,P,,,,,,,,,,,,
P,Pd,C,C,Pd,,,,,,,,,,
Cu,N,C,N,,,,,,,,,,,
N,O,O,N,,,,,,,,,,,
S,N,O,O,C,,,,,,,,,,
C,Si,S,C,,,,,,,,,,,
Cl,Hg,,,,,,,,,,,,,
H,F,,,,,,,,,,,,,
C,S,N,H,H,,,,,,,,,,
N,P,H,H,,,,,,,,,,,
C,C,Te,,,,,,,,,,,,
Mo,O,C,C,O,N,C,C,C,C,,,,,
C,Sb,C,C,H,,,,,,,,,,
C,C,N,C,H,,,,,,,,,,
P,C,O,O,O,,,,,,,,,,
O,Mo,O,,,,,,,,,,,,
C,Br,Br,C,C,,,,,,,,,,
C,P,O,H,H,,,,,,,,,,
C,Fe,C,I,C,,,,,,,,,,
C,I,C,S,,,,,,,,,,,
C,N,C,C,S,,,,,,,,,,
S,N,C,C,O,,,,,,,,,,
As,C,H,H,,,,,,,,,,,
C,O,C,C,P,,,,,,,,,,
C,C,Co,C,H,,,,,,,,,,
Ru,Br,P,C,P,C,C,C,C,,,,,,
N,C,O,,,,,,,,,,,,
N,C,O,N,,,,,,,,,,,
C,C,F,F,N,,,,,,,,,,
C,S,Si,H,H,,,,,,,,,,
Pd,C,Br,Br,C,,,,,,,,,,
P,C,C,C,,,,,,,,,,,
C,N,C,N,H,,,,,,,,,,
C,C,C,O,C,,,,,,,,,,
C,C,S,O,H,,,,,,,,,,
S,F,F,F,F,F,C,,,,,,,,
C,N,N,Au,,,,,,,,,,,
N,B,C,B,,,,,,,,,,,
C,C,Fe,F,C,,,,,,,,,,
C,Br,Br,Br,H,,,,,,,,,,
C,S,C,O,,,,,,,,,,,
Br,Ni,,,,,,,,,,,,,
Si,C,C,C,O,,,,,,,,,,
Au,Cl,P,,,,,,,,,,,,
C,N,O,S,,,,,,,,,,,
Pb,Se,C,C,C,,,,,,,,,,
C,C,C,N,S,,,,,,,,,,
Mo,O,O,C,C,O,C,C,C,C,,,,,
C,O,C,C,N,,,,,,,,,,
Hf,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Se,P,P,,,,,,,,,,,,
I,Mo,Mo,,,,,,,,,,,,
C,C,C,Zn,C,,,,,,,,,,
C,C,F,N,,,,,,,,,,,
N,Ni,C,C,,,,,,,,,,,
C,O,C,O,O,,,,,,,,,,
C,Te,H,H,H,,,,,,,,,,
Se,Se,C,Br,,,,,,,,,,,
C,C,H,H,,,,,,,,,,,
N,W,O,,,,,,,,,,,,
C,B,C,C,H,,,,,,,,,,
H,,,,,,,,,,,,,,
C,N,Pd,,,,,,,,,,,,
O,N,N,,,,,,,,,,,,
P,Au,C,C,C,,,,,,,,,,
S,C,Au,,,,,,,,,,,,
N,C,Sb,C,,,,,,,,,,,
N,Cu,C,C,,,,,,,,,,,
C,O,P,C,,,,,,,,,,,
C,Cl,S,C,C,,,,,,,,,,
C,C,C,I,,,,,,,,,,,
C,C,Fe,C,C,,,,,,,,,,
N,Se,C,,,,,,,,,,,,
I,Br,Br,,,,,,,,,,,,
P,Rh,C,C,C,,,,,,,,,,
C,Si,C,H,,,,,,,,,,,
C,C,Sn,H,H,,,,,,,,,,
C,I,Fe,C,C,,,,,,,,,,
C,N,C,O,H,,,,,,,,,,
C,C,C,P,H,,,,,,,,,,
Hg,C,C,,,,,,,,,,,,
C,C,Br,C,H,,,,,,,,,,
N,Pt,C,C,,,,,,,,,,,
C,O,O,C,C,,,,,,,,,,
C,C,C,N,P,,,,,,,,,,
S,C,O,C,,,,,,,,,,,
Ta,N,C,C,C,N,,,,,,,,,
C,Br,C,C,,,,,,,,,,,
C,F,F,C,H,,,,,,,,,,
C,Fe,C,C,H,,,,,,,,,,
N,C,S,,,,,,,,,,,,
Si,C,Br,H,H,,,,,,,,,,
N,B,H,H,,,,,,,,,,,
S,C,C,,,,,,,,,,,,
S,O,O,,,,,,,,,,,,
Os,P,C,C,C,C,C,C,C,C,P,,,,
N,Pd,C,C,,,,,,,,,,,
C,C,S,C,,,,,,,,,,,
C,C,C,F,H,,,,,,,,,,
C,S,C,S,,,,,,,,,,,
C,N,N,,,,,,,,,,,,
C,Se,C,W,,,,,,,,,,,
Si,C,C,C,S,,,,,,,,,,
P,N,O,C,C,,,,,,,,,,
Si,C,Pd,C,Pd,,,,,,,,,,
C,C,N,N,H,,,,,,,,,,
C,I,C,B,,,,,,,,,,,
C,Br,Br,N,C,,,,,,,,,,
C,C,Si,H,,,,,,,,,,,
N,N,C,C,,,,,,,,,,,
C,Zn,C,C,,,,,,,,,,,
C,F,C,F,F,,,,,,,,,,
Cl,Zr,,,,,,,,,,,,,
N,N,O,,,,,,,,,,,,
B,B,N,N,,,,,,,,,,,
C,O,C,H,,,,,,,,,,,
N,N,H,H,,,,,,,,,,,
Ag,Cl,C,,,,,,,,,,,,
B,N,N,H,,,,,,,,,,,
B,C,N,N,,,,,,,,,,,
C,C,C,Fe,C,,,,,,,,,,
C,S,N,O,,,,,,,,,,,
C,Br,C,Br,,,,,,,,,,,
Sn,C,Cl,Cl,Cl,,,,,,,,,,
C,Cl,Cl,C,C,,,,,,,,,,
N,Si,C,C,,,,,,,,,,,
N,O,C,N,,,,,,,,,,,
N,C,P,,,,,,,,,,,,
Mo,S,C,S,Cl,C,C,C,C,Mo,,,,,
Br,Sb,,,,,,,,,,,,,
C,C,Si,C,C,,,,,,,,,,
S,N,O,O,O,,,,,,,,,,
C,C,F,C,H,,,,,,,,,,
C,S,N,C,C,,,,,,,,,,
Ge,Ge,C,C,C,,,,,,,,,,
N,P,C,C,,,,,,,,,,,
C,Fe,C,Si,C,,,,,,,,,,
C,S,C,P,,,,,,,,,,,
C,C,P,C,C,,,,,,,,,,
C,C,C,C,W,,,,,,,,,,
I,C,,,,,,,,,,,,,
C,C,C,Se,,,,,,,,,,,
C,P,O,C,C,,,,,,,,,,
C,Se,C,C,H,,,,,,,,,,
Si,N,N,C,H,,,,,,,,,,
C,C,C,Ge,C,,,,,,,,,,
Ir,N,C,C,C,C,C,C,,,,,,,
C,S,S,H,H,,,,,,,,,,
As,C,C,C,,,,,,,,,,,
N,N,H,H,H,,,,,,,,,,
C,C,N,I,,,,,,,,,,,
C,C,C,Ni,H,,,,,,,,,,
N,C,N,,,,,,,,,,,,
N,C,O,W,,,,,,,,,,,
C,F,O,C,,,,,,,,,,,
S,O,S,,,,,,,,,,,,
C,C,C,H,,,,,,,,,,,
C,S,Si,Ir,H,,,,,,,,,,
C,C,C,O,O,,,,,,,,,,
O,Pb,C,,,,,,,,,,,,
C,S,C,N,,,,,,,,,,,
C,Fe,S,C,C,,,,,,,,,,
C,Pt,N,N,,,,,,,,,,,
C,Cl,C,S,,,,,,,,,,,
C,S,C,S,H,,,,,,,,,,
C,N,C,H,H,,,,,,,,,,
N,C,S,C,,,,,,,,,,,
C,S,O,O,,,,,,,,,,,
C,Cl,Cl,Cl,H,,,,,,,,,,
C,P,C,C,C,,,,,,,,,,
C,Fe,C,P,C,,,,,,,,,,
C,C,C,Br,Br,,,,,,,,,,
C,N,N,H,,,,,,,,,,,
N,C,P,C,,,,,,,,,,,
C,Pt,H,H,H,,,,,,,,,,
C,Br,N,C,,,,,,,,,,,
B,I,C,C,,,,,,,,,,,
C,N,O,C,H,,,,,,,,,,
C,W,C,C,C,,,,,,,,,,
I,Si,,,,,,,,,,,,,
C,C,C,Mo,H,,,,,,,,,,
O,O,H,,,,,,,,,,,,
C,C,N,Se,H,,,,,,,,,,
P,P,C,P,,,,,,,,,,,
Co,S,P,P,P,C,H,,,,,,,,
C,Au,O,C,,,,,,,,,,,
S,N,C,,,,,,,,,,,,
C,P,F,F,C,,,,,,,,,,
B,Cl,C,C,,,,,,,,,,,
Sb,C,N,Br,Br,N,,,,,,,,,
P,Ir,C,C,C,,,,,,,,,,
C,S,N,S,,,,,,,,,,,
C,S,Si,C,,,,,,,,,,,
P,C,C,C,C,,,,,,,,,,
C,C,C,C,Zr,,,,,,,,,,
Se,O,C,C,,,,,,,,,,,
C,C,Br,N,,,,,,,,,,,
C,P,P,C,H,,,,,,,,,,
C,C,Si,C,Fe,,,,,,,,,,
C,C,O,N,H,,,,,,,,,,
Au,C,Cl,Cl,Cl,,,,,,,,,,
O,Mo,,,,,,,,,,,,,
C,C,P,C,Fe,,,,,,,,,,
C,C,Au,,,,,,,,,,,,
Cl,Ta,,,,,,,,,,,,,
N,P,N,,,,,,,,,,,,
N,Ta,C,C,,,,,,,,,,,
C,O,C,N,C,,,,,,,,,,
Ru,C,C,C,C,C,C,C,C,C,C,,,,
C,O,N,H,,,,,,,,,,,
C,Pd,O,C,,,,,,,,,,,
F,C,,,,,,,,,,,,,
S,C,Co,,,,,,,,,,,,
Se,N,N,,,,,,,,,,,,
O,C,I,,,,,,,,,,,,
Sn,Cl,Cl,C,C,,,,,,,,,,
C,O,O,O,C,,,,,,,,,,
O,Se,,,,,,,,,,,,,
C,C,Cl,N,,,,,,,,,,,
C,Hg,N,,,,,,,,,,,,
C,C,O,N,O,,,,,,,,,,
Se,W,Se,,,,,,,,,,,,
Cl,Ti,,,,,,,,,,,,,
C,Si,Si,H,H,,,,,,,,,,
O,Si,C,,,,,,,,,,,,
Se,Pb,P,,,,,,,,,,,,
S,Mo,C,Mo,,,,,,,,,,,
P,S,S,C,S,,,,,,,,,,
S,O,O,O,N,,,,,,,,,,
Au,C,Br,Br,Br,,,,,,,,,,
C,Bi,C,C,,,,,,,,,,,
Pd,P,Cl,Cl,P,,,,,,,,,,
K,,,,,,,,,,,,,,
C,Hg,H,H,H,,,,,,,,,,
C,C,O,Ti,,,,,,,,,,,
N,C,C,H,,,,,,,,,,,
C,Cl,C,N,,,,,,,,,,,
Si,O,O,O,N,,,,,,,,,,
C,C,B,C,,,,,,,,,,,
C,S,O,S,,,,,,,,,,,
C,P,C,C,Fe,,,,,,,,,,
P,P,P,P,,,,,,,,,,,
Br,I,,,,,,,,,,,,,
C,C,C,Ti,C,,,,,,,,,,
C,B,C,C,,,,,,,,,,,
N,N,N,N,,,,,,,,,,,
Cs,,,,,,,,,,,,,,
C,I,Cl,H,H,,,,,,,,,,
C,C,N,Se,,,,,,,,,,,
N,C,Ru,H,,,,,,,,,,,
Rh,C,P,Si,C,C,C,C,H,,,,,,
C,C,C,Br,H,,,,,,,,,,
C,C,C,Si,Fe,,,,,,,,,,
O,S,N,,,,,,,,,,,,
C,Sb,C,H,H,,,,,,,,,,
S,O,C,C,,,,,,,,,,,
C,P,Cl,H,H,,,,,,,,,,
C,C,N,H,H,,,,,,,,,,
C,Si,N,C,H,,,,,,,,,,
F,Si,,,,,,,,,,,,,
C,C,C,C,F,,,,,,,,,,
C,C,N,H,,,,,,,,,,,
O,Ag,C,,,,,,,,,,,,
Mo,N,C,C,C,C,C,C,C,,,,,,
C,Bi,C,C,H,,,,,,,,,,
P,C,C,C,Fe,,,,,,,,,,
C,C,I,,,,,,,,,,,,
O,Si,Si,,,,,,,,,,,,
P,C,C,,,,,,,,,,,,
C,C,C,W,C,,,,,,,,,,
C,Ge,C,C,C,,,,,,,,,,
C,S,C,C,H,,,,,,,,,,
S,Sb,C,,,,,,,,,,,,
C,C,F,F,F,,,,,,,,,,
S,Pt,O,C,C,,,,,,,,,,
C,Te,C,N,,,,,,,,,,,
O,B,B,,,,,,,,,,,,
C,C,C,Cl,H,,,,,,,,,,
S,N,O,O,N,,,,,,,,,,
As,O,O,C,,,,,,,,,,,
C,C,O,O,N,,,,,,,,,,
C,C,C,O,P,,,,,,,,,,
Te,C,C,I,I,,,,,,,,,,
N,Ti,C,C,,,,,,,,,,,
N,B,B,C,,,,,,,,,,,
B,C,O,C,,,,,,,,,,,
P,N,N,N,N,N,N,,,,,,,,
C,C,H,H,H,,,,,,,,,,
As,N,N,N,N,N,N,,,,,,,,
N,C,B,H,,,,,,,,,,,
C,C,Cl,C,H,,,,,,,,,,
Sn,Se,C,C,C,,,,,,,,,,
B,C,C,C,C,,,,,,,,,,
C,S,S,C,C,,,,,,,,,,
C,Br,C,S,,,,,,,,,,,
C,C,Pt,C,,,,,,,,,,,
Si,Pt,C,O,O,,,,,,,,,,
C,F,O,C,H,,,,,,,,,,
C,F,C,C,,,,,,,,,,,
C,C,C,I,C,,,,,,,,,,
Pt,P,C,P,C,,,,,,,,,,
S,C,S,,,,,,,,,,,,
C,Br,Fe,C,C,,,,,,,,,,
C,C,C,O,N,,,,,,,,,,
C,C,C,Bi,,,,,,,,,,,
C,C,Pd,C,,,,,,,,,,,
C,C,C,C,Ti,,,,,,,,,,
C,Bi,H,H,H,,,,,,,,,,
C,Fe,Br,C,C,,,,,,,,,,
C,C,O,H,,,,,,,,,,,
I,O,O,O,C,,,,,,,,,,
Tl,C,C,C,,,,,,,,,,,
C,Ni,N,,,,,,,,,,,,
Ge,I,I,C,C,,,,,,,,,,
C,N,C,C,C,,,,,,,,,,
C,O,Cl,O,C,,,,,,,,,,
C,C,N,Si,H,,,,,,,,,,
C,P,N,C,,,,,,,,,,,
Pd,C,Cl,Cl,Se,,,,,,,,,,
C,P,C,C,O,,,,,,,,,,
Zn,C,C,,,,,,,,,,,,
C,Si,C,C,H,,,,,,,,,,
C,As,H,H,H,,,,,,,,,,
C,C,Br,H,H,,,,,,,,,,
C,Mo,C,H,H,,,,,,,,,,
O,C,H,,,,,,,,,,,,
C,Se,Fe,C,C,,,,,,,,,,
O,S,,,,,,,,,,,,,
Si,Pd,C,C,Pd,,,,,,,,,,
Sb,N,N,N,,,,,,,,,,,
B,C,O,Br,,,,,,,,,,,
Zr,Cl,Cl,C,C,C,C,C,C,C,C,C,C,,
P,Se,Se,C,,,,,,,,,,,
C,Sn,C,H,H,,,,,,,,,,
C,C,Cl,Cl,H,,,,,,,,,,
C,N,O,C,,,,,,,,,,,
Ga,C,C,C,,,,,,,,,,,
C,Cl,Si,H,H,,,,,,,,,,
P,Se,O,O,O,,,,,,,,,,
C,Se,O,C,,,,,,,,,,,
C,C,Br,C,Pt,,,,,,,,,,
C,Ge,C,C,Fe,,,,,,,,,,
N,C,N,H,,,,,,,,,,,
Se,C,O,C,O,,,,,,,,,,
C,Cl,P,H,H,,,,,,,,,,
S,S,O,O,C,,,,,,,,,,
C,Br,C,P,,,,,,,,,,,
Co,C,C,C,C,C,C,C,C,C,,,,,
C,C,C,B,,,,,,,,,,,
S,C,P,,,,,,,,,,,,
Si,C,C,Si,C,,,,,,,,,,
S,O,N,C,C,,,,,,,,,,
Cu,Se,N,Se,Cu,N,,,,,,,,,
S,S,S,O,,,,,,,,,,,
S,O,N,C,,,,,,,,,,,
B,N,N,H,H,,,,,,,,,,
P,S,S,S,N,,,,,,,,,,
C,C,Se,,,,,,,,,,,,
Si,C,Cl,C,H,,,,,,,,,,
Se,Ag,C,C,,,,,,,,,,,
C,As,N,,,,,,,,,,,,
W,Se,Se,C,C,Se,Se,C,C,C,C,,,,
Te,C,C,Br,Br,,,,,,,,,,
C,Ni,C,C,,,,,,,,,,,
C,C,H,,,,,,,,,,,,
C,C,I,N,,,,,,,,,,,
O,Si,O,,,,,,,,,,,,
C,O,H,H,,,,,,,,,,,
S,C,N,,,,,,,,,,,,
C,O,O,C,,,,,,,,,,,
O,P,,,,,,,,,,,,,
C,C,Se,C,,,,,,,,,,,
C,N,S,H,,,,,,,,,,,
C,C,S,N,,,,,,,,,,,
C,C,O,Cl,,,,,,,,,,,
C,N,P,H,,,,,,,,,,,
C,C,C,Zr,C,,,,,,,,,,
C,Br,S,C,,,,,,,,,,,
P,S,C,C,C,,,,,,,,,,
C,C,B,O,,,,,,,,,,,
S,Au,C,,,,,,,,,,,,
S,S,C,,,,,,,,,,,,
Mo,C,C,I,C,C,C,I,I,I,Mo,,,,
C,B,C,O,,,,,,,,,,,
I,Pd,,,,,,,,,,,,,
C,Zr,H,H,H,,,,,,,,,,
C,N,C,Cl,,,,,,,,,,,
S,C,B,,,,,,,,,,,,
C,Sb,C,C,C,,,,,,,,,,
C,C,N,C,C,,,,,,,,,,
Cl,Pd,,,,,,,,,,,,,
P,O,O,O,N,,,,,,,,,,
N,P,C,P,,,,,,,,,,,
Si,C,C,C,C,,,,,,,,,,
C,O,N,C,H,,,,,,,,,,
C,C,Cl,Cl,Cl,,,,,,,,,,
S,N,S,,,,,,,,,,,,
C,Se,C,H,H,,,,,,,,,,
I,C,C,O,,,,,,,,,,,
P,C,N,N,,,,,,,,,,,
S,O,O,C,,,,,,,,,,,
C,Hg,N,N,,,,,,,,,,,
P,Pd,C,C,H,,,,,,,,,,
C,Te,C,H,H,,,,,,,,,,
C,Mo,H,H,H,,,,,,,,,,
C,N,C,N,C,,,,,,,,,,
Co,C,C,C,C,C,C,C,C,C,C,,,,
P,O,C,,,,,,,,,,,,
B,O,O,C,,,,,,,,,,,
C,Br,Br,Br,C,,,,,,,,,,
Mg,,,,,,,,,,,,,,
C,Pb,C,C,,,,,,,,,,,
C,Cl,Cl,O,O,,,,,,,,,,
P,O,Cl,C,Cl,,,,,,,,,,
O,N,H,,,,,,,,,,,,
C,C,P,C,N,,,,,,,,,,
B,C,O,O,,,,,,,,,,,
P,Co,C,C,C,,,,,,,,,,
C,C,C,S,H,,,,,,,,,,
N,C,C,C,H,,,,,,,,,,
Si,O,C,O,O,,,,,,,,,,
N,Te,N,,,,,,,,,,,,
F,S,,,,,,,,,,,,,
N,C,C,Ni,,,,,,,,,,,
C,Ge,P,C,P,,,,,,,,,,
P,C,C,C,Pd,,,,,,,,,,
N,C,P,P,,,,,,,,,,,
I,Te,,,,,,,,,,,,,
C,Br,O,C,C,,,,,,,,,,
S,Si,Si,,,,,,,,,,,,
P,C,O,C,Cl,,,,,,,,,,
C,S,S,C,O,,,,,,,,,,
Cl,N,,,,,,,,,,,,,
C,Sn,C,C,H,,,,,,,,,,
B,C,C,I,,,,,,,,,,,
C,F,F,F,C,,,,,,,,,,
Te,S,S,,,,,,,,,,,,
C,N,Br,C,,,,,,,,,,,
C,C,P,O,C,,,,,,,,,,
C,Ta,H,H,H,,,,,,,,,,
Cl,Te,,,,,,,,,,,,,
N,Si,Si,C,,,,,,,,,,,
Zn,Zn,C,C,C,C,C,,,,,,,,
C,B,C,C,C,,,,,,,,,,
S,O,N,N,C,,,,,,,,,,
C,Ge,Fe,C,C,,,,,,,,,,
C,P,P,H,H,,,,,,,,,,
C,Si,C,C,,,,,,,,,,,
Pd,S,Cl,Cl,C,,,,,,,,,,
C,B,H,H,H,,,,,,,,,,
Sr,,,,,,,,,,,,,,
C,O,C,S,H,,,,,,,,,,
C,N,C,O,C,,,,,,,,,,
Ca,,,,,,,,,,,,,,
Pt,Si,P,Si,P,,,,,,,,,,
C,C,N,C,Fe,,,,,,,,,,
C,C,Br,C,C,,,,,,,,,,
P,S,N,O,C,,,,,,,,,,
Fe,C,C,C,C,C,C,C,C,C,C,,,,
C,N,S,S,,,,,,,,,,,
S,C,O,O,C,,,,,,,,,,
B,C,C,Br,,,,,,,,,,,
S,O,O,N,N,,,,,,,,,,
C,Br,F,F,C,,,,,,,,,,
Cl,Ir,,,,,,,,,,,,,
S,O,O,C,O,,,,,,,,,,
C,F,F,C,C,,,,,,,,,,
F,P,,,,,,,,,,,,,
C,Zn,C,C,C,,,,,,,,,,
C,Sn,H,H,H,,,,,,,,,,
N,S,N,H,,,,,,,,,,,
C,Fe,C,H,H,,,,,,,,,,
Br,Bi,,,,,,,,,,,,,
C,S,O,H,H,,,,,,,,,,
C,C,N,N,C,,,,,,,,,,
S,Pd,C,C,,,,,,,,,,,
I,Ge,,,,,,,,,,,,,
Te,P,,,,,,,,,,,,,
Fe,P,C,C,P,C,C,C,C,,,,,,
C,C,O,C,H,,,,,,,,,,
N,C,C,Pt,,,,,,,,,,,
C,C,Si,C,,,,,,,,,,,
N,O,C,H,,,,,,,,,,,
Au,Br,C,,,,,,,,,,,,
C,Pd,N,,,,,,,,,,,,
C,N,C,S,H,,,,,,,,,,
C,C,N,Cl,Cl,,,,,,,,,,
O,Se,H,,,,,,,,,,,,
C,C,C,F,F,,,,,,,,,,
Si,C,C,Cl,Cl,,,,,,,,,,
