0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
C,C,C,N,,,,,,,,,,,
C,Se,C,H,,,,,,,,,,,
C,Pt,C,H,H,,,,,,,,,,
C,C,O,O,,,,,,,,,,,
N,C,C,S,,,,,,,,,,,
C,C,Ru,C,H,,,,,,,,,,
S,O,O,C,C,,,,,,,,,,
Br,Se,,,,,,,,,,,,,
N,C,C,Ru,,,,,,,,,,,
C,N,N,N,,,,,,,,,,,
C,O,C,S,C,,,,,,,,,,
C,N,Pt,N,,,,,,,,,,,
O,I,C,,,,,,,,,,,,
Se,O,O,C,,,,,,,,,,,
C,N,C,,,,,,,,,,,,
O,C,O,,,,,,,,,,,,
C,Ir,N,N,,,,,,,,,,,
C,I,C,I,,,,,,,,,,,
Si,C,Cl,Cl,Cl,,,,,,,,,,
C,C,N,S,,,,,,,,,,,
C,Br,C,N,C,,,,,,,,,,
N,C,,,,,,,,,,,,,
C,Ga,H,H,H,,,,,,,,,,
N,Se,C,Se,,,,,,,,,,,
Br,Os,,,,,,,,,,,,,
C,O,F,F,C,,,,,,,,,,
C,S,C,C,S,,,,,,,,,,
C,C,Zn,C,,,,,,,,,,,
C,Re,C,H,H,,,,,,,,,,
N,C,N,O,,,,,,,,,,,
C,Ti,H,H,H,,,,,,,,,,
C,Br,C,N,,,,,,,,,,,
I,O,O,C,,,,,,,,,,,
N,S,N,C,,,,,,,,,,,
C,F,C,C,C,,,,,,,,,,
Ag,C,C,,,,,,,,,,,,
C,Si,H,H,H,,,,,,,,,,
N,B,C,H,,,,,,,,,,,
W,C,C,N,C,C,C,C,C,,,,,,
C,C,C,C,H,,,,,,,,,,
C,C,C,S,Fe,,,,,,,,,,
C,Fe,C,C,,,,,,,,,,,
C,N,I,N,,,,,,,,,,,
N,C,C,P,,,,,,,,,,,
C,C,O,C,C,,,,,,,,,,
S,B,C,,,,,,,,,,,,
C,As,O,C,,,,,,,,,,,
Ir,S,S,P,C,C,C,C,C,,,,,,
N,O,O,O,,,,,,,,,,,
C,I,S,C,,,,,,,,,,,
C,Cl,N,H,H,,,,,,,,,,
P,C,C,O,Ni,,,,,,,,,,
O,Se,C,,,,,,,,,,,,
C,N,N,C,H,,,,,,,,,,
N,C,O,H,,,,,,,,,,,
P,N,O,O,O,,,,,,,,,,
C,C,O,,,,,,,,,,,,
C,C,F,F,H,,,,,,,,,,
C,O,N,,,,,,,,,,,,
Ru,Cl,N,C,N,C,C,C,C,,,,,,
Si,C,I,I,Si,,,,,,,,,,
Se,C,Se,Br,,,,,,,,,,,
C,F,C,C,F,,,,,,,,,,
C,C,C,Hg,,,,,,,,,,,
N,N,C,N,,,,,,,,,,,
C,B,O,C,,,,,,,,,,,
B,C,Br,C,,,,,,,,,,,
C,C,C,Os,H,,,,,,,,,,
P,O,O,C,H,,,,,,,,,,
O,N,Mo,,,,,,,,,,,,
O,N,,,,,,,,,,,,,
Pd,Br,Br,C,C,,,,,,,,,,
C,C,O,S,,,,,,,,,,,
N,N,O,O,,,,,,,,,,,
C,C,As,C,,,,,,,,,,,
C,C,Br,Br,Br,,,,,,,,,,
C,O,C,C,H,,,,,,,,,,
C,Ge,C,C,H,,,,,,,,,,
C,C,S,H,H,,,,,,,,,,
C,S,O,C,C,,,,,,,,,,
N,Ir,C,H,,,,,,,,,,,
Se,Br,Br,C,C,,,,,,,,,,
C,I,C,C,C,,,,,,,,,,
C,C,Ti,C,C,,,,,,,,,,
C,C,C,C,Hf,,,,,,,,,,
C,S,C,O,H,,,,,,,,,,
O,C,S,,,,,,,,,,,,
Ru,Cl,C,C,C,C,C,C,C,C,,,,,
Au,S,S,S,S,,,,,,,,,,
C,Br,C,Br,Br,,,,,,,,,,
C,C,F,Fe,C,,,,,,,,,,
S,C,Ni,,,,,,,,,,,,
C,Cr,C,C,H,,,,,,,,,,
